datatable_general_name	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
reference_sciname	order	The order name associated with the sciname value	character			NA	
reference_sciname	class	The class \name associated with the sciname value	character			NA	
reference_sciname	superclass	The superclass name associated with the sciname value	character			NA	
reference_sciname	phylum	The phylum name associated with the sciname value	character			NA	
reference_sciname	kingdom	The kingdom name associated with the sciname value	character			NA	
reference_sciname	aquarium	Indicates the degree to which the sciname taxa is traded or kept in the aquarium industry.	categorical			NA	
reference_sciname	fresh01	Binary indicator of whether the sciname taxa is known to inhabit freshwater environments	numeric	dimensionless		NA	
reference_sciname	brack01	Binary indicator of whether the sciname taxa is known to inhabit brackish environments	numeric	dimensionless		NA	
reference_sciname	saltwater01	Binary indicator of whether the sciname taxa is known to inhabit saltwater environments	numeric	dimensionless		NA	
reference_sciname	isscaap_group	The ISSCAAP (International Standard Statistical Classification of Aquatic Animals and Plants) group to which the sciname taxa belongs.	character			NA	
trade	hs_version	Harmonized System (HS) classification version. Also referred to as the Harmonized Commodity Description and Coding System maintained by the World Customs Organization (WCO) for standardized international identification of traded products and goods. 	categorical			NA	
trade	year	Year in which the trade took place	Date		YYYY	NA	
trade	prod_country_iso3c	"The country that produced the specific product (i.e., fishing nation or aquaculture producer) specified by ISO 3166-1 alpha-3 code (defined in ISO 3116-1 Codes for the representation of names of countries and their subdivisions) "	character			NA	
trade	exporter_iso3c	The direct exporter country specified by ISO 3166-1 alpha-3 code (defined in ISO 3116-1 Codes for the representation of names of countries and their subdivisions) 	character			NA	
trade	importer_iso3c	The direct importer country specified by ISO 3166-1 alpha-3 code (defined in ISO 3116-1 Codes for the representation of names of countries and their subdivisions) 	character			NA	
trade	export_type	"Identifies the origin of the exported product, distinguishing whether it was produced domestically or re-exported after being imported from another country."	categorical			NA	
trade	hs6	"The six digit Harmonized System (HS) code classifying traded products. Only HS codes in section one ""Live Animals; Animal Products"". The first two digits of the code are the chapter; the second two digits are the position of the heading within the chapter; the last two digits are the subheading in the heading."	character			NA	
trade	sciname	Species/species group scientific name	character			NA	
trade	habitat	The aquatic environment in which the species/species group was produced.	categorical			NA	
trade	method	The production method used to obtain the species/species group.	categorical			NA	
trade	product_weight_t	The weight of the traded product in its reported form	numeric	tonne		NA	
trade	live_weight_t	Live weight in tonnes	numeric	tonne		NA	
