datatable_general_name	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
reference_hs6_taxa_resolution	hs6_taxa_level_numeric	"The numeric coding of hs6_taxa_level values. The numeric code 1 corresponds with ""Species"", 2 with ""Genus"", 3 with ""Subfamily"", 4 with ""Family"", 5 with ""Order"", 6 with ""Class"", 7 with ""Superclass"", 8 with ""Phylum"", and 9 with ""Kingdom"".  "	numeric	dimensionless		NA	Data not available
reference_hs6	hs_version	Harmonized System (HS) classification version. Also referred to as the Harmonized Commodity Description and Coding System maintained by the World Customs Organization (WCO) for standardized international identification of traded products and goods. 	categorical			NA	Data not available
reference_hs6	hs6	"The six digit Harmonized System (HS) code classifying traded products. Only HS codes in section one ""Live Animals; Animal Products"". The first two digits of the code are the chapter; the second two digits are the position of the heading within the chapter; the last two digits are the subheading in the heading."	character			NA	Data not available
reference_hs6	hs6_description	text description of product or commodety corresponding to the six digit Harmonized System (HS) code for a particular HS version.	character			NA	Data not available
reference_hs6	hs6_parent	"The six digit Harmonized System (HS) code of the immediate parent product category in the Harmonized System hierarchy. Used to represent the tree structure of HS classifications, where broader product groupings contain more specific subcategories."	character			NA	Data not available
reference_hs6	hs6_presentation	The physical form or anatomical part of the product.	categorical			NA	Data not available
reference_hs6	hs6_state	The preservation or processing condition of the product.	categorical			NA	Data not available
reference_hs6	hs_version_numeric	The numeric coding of hs_version values	character			NA	Data not available
reference_production	year	Year in which the production took place	Date		YYYY	NA	Data not available
reference_production	prod_country_iso3c	"The country that produced the specific product (i.e., fishing nation or aquaculture producer) specified by ISO 3166-1 alpha-3 code (defined in ISO 3116-1 Codes for the representation of names of countries and their subdivisions) "	character			NA	Data not available
reference_production	sciname	Species/species group scientific name	character			NA	Data not available
reference_production	method	The production method used to obtain the species/species group.	categorical			NA	Data not available
reference_production	habitat	The aquatic environment in which the species/species group was produced.	categorical			NA	Data not available
reference_production	live_weight_t	Live weight in tonnes	numeric	tonne		NA	Data not available
reference_sciname	sciname	Species/species group scientific name	character			NA	Data not available
reference_sciname	common_name	Species/species group common name	character			NA	Data not available
reference_sciname	genus	The genus name associated with the sciname value	character			NA	Data not available
reference_sciname	subfamily	The subfamily name associated with the sciname value	character			NA	Data not available
reference_sciname	family	The family name associated with the sciname value	character			NA	Data not available
reference_sciname	order	The order name associated with the sciname value	character			NA	Data not available
reference_sciname	class	The class \name associated with the sciname value	character			NA	Data not available
reference_sciname	superclass	The superclass name associated with the sciname value	character			NA	Data not available
reference_sciname	phylum	The phylum name associated with the sciname value	character			NA	Data not available
reference_sciname	kingdom	The kingdom name associated with the sciname value	character			NA	Data not available
reference_sciname	aquarium	Indicates the degree to which the sciname taxa is traded or kept in the aquarium industry.	categorical			NA	Data not available
reference_sciname	fresh01	Binary indicator of whether the sciname taxa is known to inhabit freshwater environments	numeric	dimensionless		NA	Data not available
reference_sciname	brack01	Binary indicator of whether the sciname taxa is known to inhabit brackish environments	numeric	dimensionless		NA	Data not available
reference_sciname	saltwater01	Binary indicator of whether the sciname taxa is known to inhabit saltwater environments	numeric	dimensionless		NA	Data not available
reference_sciname	isscaap_group	The ISSCAAP (International Standard Statistical Classification of Aquatic Animals and Plants) group to which the sciname taxa belongs.	character			NA	Data not available
trade	hs_version	Harmonized System (HS) classification version. Also referred to as the Harmonized Commodity Description and Coding System maintained by the World Customs Organization (WCO) for standardized international identification of traded products and goods. 	categorical			NA	Data not available
trade	year	Year in which the trade took place	Date		YYYY	NA	Data not available
trade	prod_country_iso3c	"The country that produced the specific product (i.e., fishing nation or aquaculture producer) specified by ISO 3166-1 alpha-3 code (defined in ISO 3116-1 Codes for the representation of names of countries and their subdivisions) "	character			NA	Data not available
trade	exporter_iso3c	The direct exporter country specified by ISO 3166-1 alpha-3 code (defined in ISO 3116-1 Codes for the representation of names of countries and their subdivisions) 	character			NA	Data not available
trade	importer_iso3c	The direct importer country specified by ISO 3166-1 alpha-3 code (defined in ISO 3116-1 Codes for the representation of names of countries and their subdivisions) 	character			NA	Data not available
trade	export_type	"Identifies the origin of the exported product, distinguishing whether it was produced domestically or re-exported after being imported from another country."	categorical			NA	Data not available
trade	hs6	"The six digit Harmonized System (HS) code classifying traded products. Only HS codes in section one ""Live Animals; Animal Products"". The first two digits of the code are the chapter; the second two digits are the position of the heading within the chapter; the last two digits are the subheading in the heading."	character			NA	Data not available
trade	sciname	Species/species group scientific name	character			NA	Data not available
trade	habitat	The aquatic environment in which the species/species group was produced.	categorical			NA	Data not available
trade	method	The production method used to obtain the species/species group.	categorical			NA	Data not available
trade	product_weight_t	The weight of the traded product in its reported form	numeric	tonne		NA	Data not available
trade	live_weight_t	Live weight in tonnes	numeric	tonne		NA	Data not available
